,date,float_id,latitude,longitude,sea temperature in deg_celcius,sea_water_salinity in psu,Sea Pressure in decibar,cycle number
69,2017-10-07 22:26:13,2903125,9.75,70.969,28.663999557495117,36.35300064086914,12.039999961853027,144
70,2017-10-07 22:26:13,2903125,9.75,70.969,28.672000885009766,36.356998443603516,14.039999961853027,144
71,2017-10-07 22:26:13,2903125,9.75,70.969,28.677000045776367,36.35900115966797,16.040000915527344,144
72,2017-10-07 22:26:13,2903125,9.75,70.969,28.674999237060547,36.35900115966797,18.040000915527344,144
73,2017-10-07 22:26:13,2903125,9.75,70.969,28.679000854492188,36.36199951171875,20.040000915527344,144
74,2017-10-07 22:26:13,2903125,9.75,70.969,28.68600082397461,36.3650016784668,22.040000915527344,144
75,2017-10-07 22:26:13,2903125,9.75,70.969,28.687000274658203,36.367000579833984,24.040000915527344,144
76,2017-10-07 22:26:13,2903125,9.75,70.969,28.695999145507812,36.37300109863281,26.040000915527344,144
77,2017-10-07 22:26:13,2903125,9.75,70.969,28.70599937438965,36.38100051879883,28.040000915527344,144
78,2017-10-07 22:26:13,2903125,9.75,70.969,28.73200035095215,36.404998779296875,30.040000915527344,144
79,2017-10-07 22:26:13,2903125,9.75,70.969,28.73699951171875,36.42100143432617,32.040000915527344,144
80,2017-10-07 22:26:13,2903125,9.75,70.969,28.735000610351562,36.422000885009766,34.040000915527344,144
81,2017-10-07 22:26:13,2903125,9.75,70.969,28.732999801635742,36.422000885009766,36.040000915527344,144
82,2017-10-07 22:26:13,2903125,9.75,70.969,28.729000091552734,36.422000885009766,38.040000915527344,144
83,2017-10-07 22:26:13,2903125,9.75,70.969,28.724000930786133,36.422000885009766,40.040000915527344,144
84,2017-10-07 22:26:13,2903125,9.75,70.969,28.724000930786133,36.422000885009766,42.040000915527344,144
85,2017-10-07 22:26:13,2903125,9.75,70.969,28.71299934387207,36.42100143432617,44.040000915527344,144
86,2017-10-07 22:26:13,2903125,9.75,70.969,28.670000076293945,36.41600036621094,46.13999938964844,144
87,2017-10-07 22:26:13,2903125,9.75,70.969,28.655000686645508,36.41400146484375,48.040000915527344,144
88,2017-10-07 22:26:13,2903125,9.75,70.969,28.554000854492188,36.40800094604492,50.34000015258789,144
89,2017-10-07 22:26:13,2903125,9.75,70.969,27.31800079345703,36.316001892089844,51.540000915527344,144
90,2017-10-07 22:26:13,2903125,9.75,70.969,25.26099967956543,36.095001220703125,54.040000915527344,144
91,2017-10-07 22:26:13,2903125,9.75,70.969,25.02199935913086,36.064998626708984,55.939998626708984,144
